
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
870,0x000E,1,FALSE,43.30286,0.17416,0.18930,4.00800,NAN,NAN,10.40000
880,0x000E,1,FALSE,43.80106,0.17616,0.18930,4.00770,NAN,NAN,10.50000
890,0x000E,1,FALSE,44.34919,0.17835,0.18930,4.00750,NAN,NAN,10.50000
900,0x000E,1,FALSE,44.84739,0.18035,0.18930,4.00730,NAN,NAN,10.50000
910,0x000E,1,FALSE,45.34555,0.18235,0.18930,4.00710,NAN,NAN,10.50000
920,0x000E,1,FALSE,45.84400,0.18434,0.18930,4.00690,NAN,NAN,10.60000
930,0x000E,1,FALSE,46.29253,0.18614,0.18930,4.00660,NAN,NAN,10.60000
940,0x000E,1,FALSE,46.79097,0.18814,0.18930,4.00640,NAN,NAN,10.60000
950,0x000E,1,FALSE,47.28933,0.19013,0.18930,4.00620,NAN,NAN,10.60000
960,0x000E,1,FALSE,47.78775,0.19213,0.18930,4.00600,NAN,NAN,10.60000
970,0x000E,1,FALSE,48.28611,0.19413,0.18930,4.00570,NAN,NAN,10.60000
980,0x000E,1,FALSE,48.83450,0.19632,0.18930,4.00550,NAN,NAN,10.50000
990,0x000E,1,FALSE,49.33308,0.19832,0.18930,4.00520,NAN,NAN,10.30000
1000,0x000E,1,FALSE,49.83158,0.20032,0.18930,4.00500,NAN,NAN,10.20000
1010,0x000E,1,FALSE,50.33006,0.20231,0.18930,4.00470,NAN,NAN,10.10000
1020,0x000E,1,FALSE,50.77842,0.20411,0.18930,4.00440,NAN,NAN,10.00000
1030,0x000E,1,FALSE,51.27672,0.20610,0.18930,4.00410,NAN,NAN,9.90000
1040,0x000E,1,FALSE,51.77494,0.20810,0.18930,4.00390,NAN,NAN,9.80000
